,title,price,link
10,"Primebook 4G, 2024(NEW, Wifi+4G) Android Based MediaTek MT8788 - (PrimeOS) 4G SIM Slot, Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C) (4GB/64GB eMMC Storage, Black)  ","14,980",https://amazon.in//Primebook-4G-Android-MediaTek-MT8788/dp/B0D1Y3MVGL/ref=sr_1_74?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k&dib_tag=se&keywords=laptop&qid=1720702112&sprefix=laptop%2Caps%2C286&sr=8-74
11,"Primebook S Wifi, 2024(NEW) Android Based MediaTek MT8183 - (PrimeOS) Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C) (4GB/128GB eMMC Storage)  ","13,980",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0OTc4ODMwNDc0NzY2MTkyOjE3MjA3MDIxMTI6c3BfbXRmOjMwMDIxMzY3MzA2MzMzMjo6MDo6&url=%2FPrimebook-Android-Based-MediaTek-MT8183%2Fdp%2FB0D2Y4KLGN%2Fref%3Dsr_1_75_sspa%3Fcrid%3D3NVZ09554GIHV%26dib%3DeyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720702112%26sprefix%3Dlaptop%252Caps%252C286%26sr%3D8-75-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
12,"Lenovo IdeaPad Slim 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office 21/1Yr Warranty/Cloud Grey/1.3Kg), 82V6009LIN  ","25,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0OTc4ODMwNDc0NzY2MTkyOjE3MjA3MDIxMTI6c3BfbXRmOjMwMDI0MDY1MTQwMjAzMjo6MDo6&url=%2FLenovo-IdeaPad-Celeron-Warranty-82V6009LIN%2Fdp%2FB0D6Z2H2HR%2Fref%3Dsr_1_76_sspa%3Fcrid%3D3NVZ09554GIHV%26dib%3DeyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1720702112%26sprefix%3Dlaptop%252Caps%252C286%26sr%3D8-76-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
13,"ASUS Vivobook Go 14 (2023), 14"" (35.56 cm) FHD (1920 x 1080) 16:9, Intel Celeron N4500, Thin and Light Laptop (8GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Black/1.3 Kg), E410KA-EK013W  ","23,750",https://amazon.in//ASUS-Vivobook-35-56-1920-1080/dp/B0CZXM6V2X/ref=sr_1_7?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TCvHmNVXz9Em_zYkXhAxxBeEkJK7CNoj2q_kHhW2puTiu2Zi2mrRg3ZyVIKMyj7hRfpjeGJgDzlnQ493QYrydCA1NlgUxkcWs6oGEWbUJFwgAfEw8IZCnDOVGJiSs6MXXfRhrEeH4UAN4RYHTrWVuEqyX5_7uWaOOmqC52Yla0NpXOyOTnQd66JmOfztxHBD_ABvAABbuOGbH4ju52H4hxs.M3iAD6zYrHk4VJsmA-zlW1wzoGFgUGs5lx4h1MGrr_M&dib_tag=se&keywords=laptop&qid=1720702093&sprefix=laptop%2Caps%2C286&sr=8-7
14,"HP Victus Gaming Laptop, AMD Ryzen 5 5600H, AMD 4GB Radeon RX 6500M Graphics, 15.6-inch (39.6 cm), FHD, IPS, 8GB DDR4, 512GB SSD, Backlit KB, B&O (Win 11, Blue, 2.29 kg), fb0147AX  ","48,990",https://amazon.in//HP-Graphics-15-6-inch-Backlit-fb0147AX/dp/B0C946F286/ref=sr_1_77?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k&dib_tag=se&keywords=laptop&qid=1720702112&sprefix=laptop%2Caps%2C286&sr=8-77
15,"(Refurbished) Lenovo ThinkPad 7th Gen Intel i5,16 GB,1TB HDD + 256 GB SSD,14"" (35.6 cm) HD Touchscreen Laptop (Windows 11/MS Office/WiFi/Webcam/Intel Graphics/Thin & Light)  ","20,500",https://amazon.in//Refurbished-Lenovo-ThinkPad-Touchscreen-Graphics/dp/B0D3VDYVDR/ref=sr_1_78?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k&dib_tag=se&keywords=laptop&qid=1720702112&sprefix=laptop%2Caps%2C286&sr=8-78
16,"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (8GB/256GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.63Kg), 82RK00WXIN  ","33,989",https://amazon.in//Lenovo-IdeaPad-39-62cm-Windows-82RK00WXIN/dp/B0CRH879SW/ref=sr_1_79?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k&dib_tag=se&keywords=laptop&qid=1720702112&sprefix=laptop%2Caps%2C286&sr=8-79
17,"(Refurbished) HP C640 10th Gen Intel Core i5 Thin & Light Touchscreen FHD Laptop (8 GB DDR4 RAM | 64 GB eMMC + 256 GB MicroSD Card | 14"" (35.6 cm) FHD | Windows 11 | WiFi | Bluetooth | Intel Graphics)  ","23,980",https://amazon.in//Refurbished-HP-Touchscreen-Bluetooth-Graphics/dp/B0CX1LMLGH/ref=sr_1_80?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k&dib_tag=se&keywords=laptop&qid=1720702112&sprefix=laptop%2Caps%2C286&sr=8-80
18,"HP Chromebook 15A Intel Celeron N4500 15.6 Inch (39.6Cm) Hd,Anti-Glare, Chrome OS Micro-Edge Laptop(4Gb Ram/128 Gb Emmc/Intel Uhd Graphics/Google Assistant/Chrome 64/Numeric Keypad) 15A- Na0012Tu  ","18,990",https://amazon.in//HP-Chromebook-Anti-Glare-11a-na0012TU/dp/B0BD7Z26BN/ref=sr_1_81?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k&dib_tag=se&keywords=laptop&qid=1720702112&sprefix=laptop%2Caps%2C286&sr=8-81
19,"HP Laptop 15, 12th Gen i3-1215U, 15.6-inch (39.6 cm), FHD, Anti-Glare, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Dual Speakers, (Win 11, MSO 2021, Silver, 1.69 kg), 15s-fy5006TU  ","36,349",https://amazon.in//HP-i3-1215U-15-6-inch-Anti-Glare-15s-fy5006TU/dp/B0CJBL2QWY/ref=sr_1_82?crid=3NVZ09554GIHV&dib=eyJ2IjoiMSJ9.8Iv-J5Tbhme-r_hZ0ThpqJ9bYqQjd8tpmmqsRx3QX_OiHYPwwauxGQAkMZ1Yv7rtGY8hT-Gtya0TnOBcyek8klPE6FcN17K3080LXMV0Xi9IWZGRVec0HdEed8OcSvit9_SA26S-DhZ1JOQTca5vFtk1AOVsPBXCzjkpq7PcU3nr1SxmIjJ3lE0PIG8kzUyNL-IjOPKUNnj3jeRLWJN28ycYNLnFUX3Ibx4RUcIyWuY.GXyzqdYmS_rF8Qh9rLInXK0DLP56Yx2rD8_X13RTw3k&dib_tag=se&keywords=laptop&qid=1720702112&sprefix=laptop%2Caps%2C286&sr=8-82
